sharpe_ratio,win_rate,max_drawdown_pct,total_return,total_trades,avg_pnl,profit_factor,trades_per_day,trading_days,AMOUNT_THRESH_WAN,FENGXIAN_THRESH,MACD_BAR_THRESH,MA_ABOVE,ZHANGDIE_THRESH
7.546589694659116,56.95364238410596,6.511350059737185,16.739999999999977,151,0.1108609271523178,1.9223140495867763,2.1884057971014492,69,2000,75,0.04,0.05,60
7.394566416387067,57.34265734265735,7.556675062972317,15.87999999999996,143,0.11104895104895084,1.9368731563421813,2.1666666666666665,66,2000,80,0.04,0.1,60
7.371806869339042,56.94444444444444,7.667731629392993,15.649999999999968,144,0.10868055555555539,1.9072463768115928,2.1818181818181817,66,2000,70,0.04,0.1,60
7.371806869339042,56.94444444444444,7.667731629392993,15.649999999999968,144,0.10868055555555539,1.9072463768115928,2.1818181818181817,66,2000,75,0.04,0.1,60
7.33567379645143,56.666666666666664,6.7076923076923425,16.249999999999968,150,0.10833333333333318,1.8953168044077124,2.2058823529411766,68,2000,80,0.04,0.05,60
7.207780657816659,56.29139072847682,6.782825140012472,16.06999999999999,151,0.10642384105960263,1.8710027100271,2.1884057971014492,69,2000,70,0.04,0.05,60
7.134552148634598,56.849315068493155,9.517766497461954,15.759999999999977,146,0.10794520547945198,1.8980056980056972,2.212121212121212,66,2000,60,0.04,0.1,60
7.132137952748147,56.493506493506494,8.338332333533312,16.67000000000001,154,0.10824675324675335,1.8890666666666676,2.2318840579710146,69,2000,60,0.04,0.05,60
7.084719611959369,56.55172413793104,9.771986970684072,15.349999999999968,145,0.10586206896551709,1.8746438746438732,2.196969696969697,66,2000,65,0.04,0.1,60
6.965645595508754,55.92105263157895,8.7863463969659,15.819999999999984,152,0.10407894736842102,1.843733333333333,2.2028985507246377,69,2000,65,0.04,0.05,60
6.336382948483071,56.2962962962963,10.691375623663617,13.66999999999998,135,0.10125925925925916,1.8360856269113146,2.109375,64,2000,85,0.04,0.1,60
6.303441215050223,55.3030303030303,11.219147344801812,13.069999999999972,132,0.09901515151515136,1.799388379204892,2.129032258064516,62,2500,60,0.04,0.1,60
6.248378286553021,54.961832061068705,11.574074074074103,12.659999999999963,131,0.09664122137404557,1.774311926605503,2.1129032258064515,62,2500,65,0.04,0.1,60
6.248378286553021,54.961832061068705,11.574074074074103,12.659999999999963,131,0.09664122137404557,1.774311926605503,2.1129032258064515,62,2500,70,0.04,0.1,60
6.248378286553021,54.961832061068705,11.574074074074103,12.659999999999963,131,0.09664122137404557,1.774311926605503,2.1129032258064515,62,2500,75,0.04,0.1,60
6.2234624773169305,56.02836879432624,9.69993021632943,13.959999999999978,141,0.09900709219858146,1.8092753623188398,2.1363636363636362,66,2000,85,0.04,0.05,60
6.178476577866488,57.84313725490197,17.46031746031751,11.33999999999997,102,0.11117647058823502,1.9818181818181795,1.9245283018867925,53,4500,60,0.02,0.2,60
6.178476577866488,57.84313725490197,17.46031746031751,11.33999999999997,102,0.11117647058823502,1.9818181818181795,1.9245283018867925,53,4500,65,0.02,0.2,60
6.11641429147809,54.47761194029851,11.406844106463893,12.849999999999975,134,0.09589552238805958,1.7581120943952793,2.126984126984127,63,2500,75,0.04,0.05,60
6.084368056716651,55.03875968992248,11.375864719446712,12.459999999999953,129,0.09658914728682141,1.7763239875389385,2.1147540983606556,61,2500,80,0.04,0.1,60
6.060645762456271,57.28155339805825,7.293354943273934,11.43999999999998,103,0.11106796116504837,1.9654008438818553,1.8392857142857142,56,4000,85,0.04,0.1,60
6.02886052724459,57.54716981132076,9.302325581395396,11.999999999999964,106,0.11320754716981103,1.9876543209876518,1.8596491228070176,57,4000,85,0.04,0.05,60
6.021803412676299,56.99999999999999,7.839721254355436,10.859999999999973,100,0.10859999999999975,1.9402597402597384,1.8518518518518519,54,4500,85,0.04,0.1,60
6.0115925833363715,58.333333333333336,19.227313566936385,11.129999999999942,96,0.11593749999999943,2.045070422535206,1.8461538461538463,52,4500,60,0.04,0.2,60
6.0115925833363715,58.333333333333336,19.227313566936385,11.129999999999942,96,0.11593749999999943,2.045070422535206,1.8461538461538463,52,4500,65,0.04,0.2,60
5.990694144064812,55.769230769230774,13.62422083704369,10.609999999999971,104,0.10201923076923053,1.8522088353413635,1.9259259259259258,54,4500,60,0.04,0.1,60
5.990694144064812,55.769230769230774,13.62422083704369,10.609999999999971,104,0.10201923076923053,1.8522088353413635,1.9259259259259258,54,4500,65,0.04,0.1,60
5.990694144064812,55.769230769230774,13.62422083704369,10.609999999999971,104,0.10201923076923053,1.8522088353413635,1.9259259259259258,54,4500,70,0.04,0.1,60
5.990694144064812,55.769230769230774,13.62422083704369,10.609999999999971,104,0.10201923076923053,1.8522088353413635,1.9259259259259258,54,4500,75,0.04,0.1,60
5.972892443117169,59.09090909090909,16.28825271470892,10.129999999999962,88,0.11511363636363595,2.071957671957668,1.7959183673469388,49,4000,80,0.04,0.3,60
5.972871188402799,57.28155339805825,9.983361064891906,11.399999999999954,103,0.110679611650485,1.9620253164556927,1.8727272727272728,55,4500,85,0.04,0.05,60
5.960935148903019,59.09090909090909,16.3204747774482,10.109999999999966,88,0.11488636363636327,2.0698412698412665,1.7959183673469388,49,4000,65,0.04,0.3,60
5.960935148903019,59.09090909090909,16.3204747774482,10.109999999999966,88,0.11488636363636327,2.0698412698412665,1.7959183673469388,49,4000,70,0.04,0.3,60
5.960935148903019,59.09090909090909,16.3204747774482,10.109999999999966,88,0.11488636363636327,2.0698412698412665,1.7959183673469388,49,4000,75,0.04,0.3,60
5.960721527902146,56.56565656565656,13.275862068965626,10.979999999999961,99,0.11090909090909055,1.9506493506493479,1.8679245283018868,53,5000,60,0.04,0.1,60
5.960721527902146,56.56565656565656,13.275862068965626,10.979999999999961,99,0.11090909090909055,1.9506493506493479,1.8679245283018868,53,5000,65,0.04,0.1,60
5.960721527902146,56.56565656565656,13.275862068965626,10.979999999999961,99,0.11090909090909055,1.9506493506493479,1.8679245283018868,53,5000,70,0.04,0.1,60
5.960721527902146,56.56565656565656,13.275862068965626,10.979999999999961,99,0.11090909090909055,1.9506493506493479,1.8679245283018868,53,5000,75,0.04,0.1,60
5.949257632341238,59.09090909090909,16.352824578791008,10.08999999999997,88,0.11465909090909059,2.067724867724865,1.7959183673469388,49,4000,60,0.04,0.3,60
5.897972391408216,54.13533834586466,11.664074650077788,12.33999999999997,133,0.09278195488721788,1.7280235988200578,2.1451612903225805,62,2500,80,0.04,0.05,60
5.883437734995983,55.75221238938053,14.89533011272139,11.519999999999959,113,0.10194690265486694,1.8439560439560414,1.9482758620689655,58,4000,65,0.04,0.05,60
5.883437734995983,55.75221238938053,14.89533011272139,11.519999999999959,113,0.10194690265486694,1.8439560439560414,1.9482758620689655,58,4000,60,0.04,0.05,60
5.872048495000213,54.074074074074076,12.673879443585895,12.639999999999992,135,0.09362962962962963,1.7327536231884058,2.142857142857143,63,2500,60,0.04,0.05,60
5.868712459225406,56.84210526315789,8.042895442359292,10.569999999999965,95,0.11126315789473647,1.9652968036529652,1.7924528301886793,53,5000,85,0.04,0.1,60
5.822897934134964,56.30252100840336,9.523809523809573,11.91999999999993,119,0.10016806722689021,1.836491228070171,2.0517241379310347,58,3000,80,0.04,0.1,60
5.817150724637023,58.16326530612245,19.7841726618707,10.969999999999942,98,0.11193877551020352,2.00182648401826,1.8148148148148149,54,4000,60,0.04,0.2,60
5.817150724637023,58.16326530612245,19.7841726618707,10.969999999999942,98,0.11193877551020352,2.00182648401826,1.8148148148148149,54,4000,65,0.04,0.2,60
5.817150724637023,58.16326530612245,19.7841726618707,10.969999999999942,98,0.11193877551020352,2.00182648401826,1.8148148148148149,54,4000,70,0.04,0.2,60
5.817150724637023,58.16326530612245,19.7841726618707,10.969999999999942,98,0.11193877551020352,2.00182648401826,1.8148148148148149,54,4000,75,0.04,0.2,60
5.811749105469521,55.73770491803278,12.3966942148761,11.799999999999935,122,0.09672131147540934,1.7946127946127908,2.0677966101694913,59,3000,65,0.04,0.1,60
5.811749105469521,55.73770491803278,12.3966942148761,11.799999999999935,122,0.09672131147540934,1.7946127946127908,2.0677966101694913,59,3000,60,0.04,0.1,60
5.801803545445119,53.73134328358209,13.088587390263495,12.229999999999983,134,0.09126865671641783,1.7089855072463762,2.126984126984127,63,2500,65,0.04,0.05,60
5.796387861054723,57.42574257425742,22.42647058823545,10.879999999999962,101,0.10772277227722736,1.941991341991339,1.9056603773584906,53,4500,70,0.02,0.2,60
5.786262738186111,55.55555555555556,16.185476815398054,10.809999999999954,108,0.10009259259259219,1.8283524904214528,1.9636363636363636,55,4500,60,0.04,0.05,60
5.786262738186111,55.55555555555556,16.185476815398054,10.809999999999954,108,0.10009259259259219,1.8283524904214528,1.9636363636363636,55,4500,65,0.04,0.05,60
5.77829971114271,53.73134328358209,13.141025641025767,12.179999999999986,134,0.09089552238805965,1.7060869565217387,2.126984126984127,63,2500,70,0.04,0.05,60
5.767902723625598,57.89473684210527,19.981325863678993,10.70999999999994,95,0.11273684210526252,2.005633802816896,1.8269230769230769,52,4500,70,0.04,0.2,60
5.767902723625598,57.89473684210527,19.981325863678993,10.70999999999994,95,0.11273684210526252,2.005633802816896,1.8269230769230769,52,4500,75,0.04,0.2,60
5.7531126399263615,56.25,11.303692539562972,12.899999999999972,128,0.10078124999999984,1.8349514563106784,2.098360655737705,61,2000,90,0.04,0.1,60
5.688036657657822,57.407407407407405,10.200927357032464,12.069999999999968,108,0.11175925925925902,1.9694779116465844,1.894736842105263,57,2000,95,0.04,0.1,60
5.668404766774759,58.24175824175825,13.980582524271949,10.299999999999946,91,0.11318681318681258,2.024875621890542,1.75,52,4500,85,0.04,0.2,60
5.638914682149967,55.72519083969466,11.467889908256925,12.73999999999998,131,0.0972519083969465,1.7937694704049838,2.1129032258064515,62,2000,90,0.04,0.05,60
5.633001157884216,55.04587155963303,16.18547681539803,10.529999999999976,109,0.09660550458715578,1.788764044943819,1.912280701754386,57,4000,60,0.04,0.1,60
5.633001157884216,55.04587155963303,16.18547681539803,10.529999999999976,109,0.09660550458715578,1.788764044943819,1.912280701754386,57,4000,65,0.04,0.1,60
5.633001157884216,55.04587155963303,16.18547681539803,10.529999999999976,109,0.09660550458715578,1.788764044943819,1.912280701754386,57,4000,70,0.04,0.1,60
5.633001157884216,55.04587155963303,16.18547681539803,10.529999999999976,109,0.09660550458715578,1.788764044943819,1.912280701754386,57,4000,75,0.04,0.1,60
5.622363929110307,60.60606060606061,9.397590361446033,8.149999999999974,66,0.12348484848484809,2.263565891472864,1.5,44,3000,90,0.02,0.1,100
5.622001372869166,55.371900826446286,12.427506213753169,11.389999999999938,121,0.09413223140495822,1.7670033670033634,2.086206896551724,58,3000,70,0.04,0.1,60
5.622001372869166,55.371900826446286,12.427506213753169,11.389999999999938,121,0.09413223140495822,1.7670033670033634,2.086206896551724,58,3000,75,0.04,0.1,60
5.617557562367719,55.35714285714286,15.429524603836505,11.089999999999959,112,0.09901785714285684,1.81245421245421,1.9310344827586208,58,4000,70,0.04,0.05,60
5.617557562367719,55.35714285714286,15.429524603836505,11.089999999999959,112,0.09901785714285684,1.81245421245421,1.9310344827586208,58,4000,75,0.04,0.05,60
5.610306869697537,56.99999999999999,23.215984776403584,10.509999999999964,100,0.10509999999999967,1.9099567099567072,1.9230769230769231,52,4500,75,0.02,0.2,60
5.608706056463414,57.608695652173914,27.005076142132157,9.849999999999953,92,0.10706521739130383,1.9516908212560342,1.803921568627451,51,4500,60,0.04,0.25,60
5.608706056463414,57.608695652173914,27.005076142132157,9.849999999999953,92,0.10706521739130383,1.9516908212560342,1.803921568627451,51,4500,65,0.04,0.25,60
5.602525955680957,55.2,12.711864406779725,11.499999999999938,125,0.09199999999999954,1.7443365695792845,2.0491803278688523,61,3000,80,0.04,0.05,60
5.598941353355426,54.93827160493827,8.197932053175833,13.539999999999964,162,0.08358024691358007,1.6686419753086406,2.2816901408450705,71,2000,80,0.02,0.05,60
5.571695669054806,57.14285714285714,23.87475538160485,10.219999999999969,98,0.10428571428571398,1.9084444444444417,1.8846153846153846,52,4500,85,0.02,0.2,60
5.569198123599322,55.660377358490564,13.201035375323613,10.689999999999971,106,0.10084905660377336,1.8384313725490178,1.8596491228070176,57,4000,80,0.04,0.1,60
